name,population,region,educationExpenditures,birthPer1000,deathPer1000,GDPPerCapita,inflationRate,militaryExpenditures,GDPPurchasePower,GDPGrowthRate,reservesOfForeignCurrency,electricityConsumption,laborForce
San Marino,34467,Europe,3.6,8.76,8.85,59439,1,0,2008000000,1.9,392000000,0,21960
Dominica,74584,Central America,5.6,14.16,8.14,11917,0.6,0,855000000,-4.7,212300000,103600000,25000
Gibraltar,29516,Europe,0,13.99,8.81,61700,2.5,0,2044000000,0,0,230800000,24420
British Virgin Islands,37891,Central America,2.5,10.98,5.3,34200,1.1,0,500000000,2,0,117500000,12770
Saint Martin,32680,Central America,0,14.2,4.56,19300,0,0,561500000,0,0,0,17300
Palau,21613,Australia - Oceania,0,11.47,8.19,17579,0.9,0,316000000,-3.7,0,0,11610
Saint Pierre and Miquelon,5321,North America,0,6.58,11.09,46200,1.5,0,261300000,0,0,42780000,4429
Cook Islands,8327,Australia - Oceania,4.7,12.85,8.89,16700,2.2,0,299900000,0.1,0,31620000,6820
Anguilla,18403,Central America,0,12.12,4.62,12200,1.3,0,175400000,-8.5,76380000,0,6049
Wallis and Futuna,15851,Australia - Oceania,0,12.49,5.74,3800,0.9,0,60000000,0,0,0,4482
Saint Barthelemy,7116,Central America,0,9.27,8.85,0,0,0,0,0,0,0,0
Tuvalu,11448,Australia - Oceania,0,22.97,8.04,4281,4.1,0,49000000,3.2,0,0,3615
"Saint Helena, Ascension, and Tristan da Cunha",7915,Africa,0,9.35,7.96,7800,4,0,31100000,0,0,6510000,2486
Svalbard,2926,Europe,0,0,0,0,0,0,0,0,0,0,1590
Nauru,9770,Australia - Oceania,0,21.49,6.24,11583,5.1,0,145000000,4,0,22320000,0
Norfolk Island,1748,Australia - Oceania,0,0,0,0,0,0,0,0,0,0,978
Christmas Island,2205,Australia - Oceania,0,0,0,0,0,0,0,0,0,0,0
Niue,2000,Australia - Oceania,0,0,0,5800,4,0,10010000,6.2,0,2790000,663
Tokelau,1647,Australia - Oceania,0,0,0,6004,4,0,7711583,0,0,0,1100
Paracel Islands,1440,East Asia/Southeast Asia,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City),1000,Europe,0,0,0,0,0,0,0,0,0,0,4822
Cocos (Keeling) Islands,596,Australia - Oceania,0,0,8.89,0,0,0,0,1,0,0,0
Pitcairn Islands,50,Australia - Oceania,0,0,0,0,0,0,0,0,0,0,15
