,P1,P2,region
105,-0.23606963512278384,-0.3106417872285506,Middle East
106,-0.2752682411449897,1.9311518235177054,Middle East
107,-0.4204187000707927,-0.16156163080033428,Central America
108,-0.2721334653084426,-0.21707455628802216,Middle East
109,-0.5382341327961342,-0.6745870770000795,East Asia/Southeast Asia
110,-0.2539557789547856,0.1673161515945416,Central America
111,-0.1678028473299922,1.1248760672500262,Europe
112,-0.5500952921668015,-0.62335742592908,Central America
113,-0.24888616977211342,0.8950996423155939,Europe
114,-0.18596929028098844,0.7640456601263368,Europe
115,-0.4947513724436489,-1.7571544160959298,Africa
116,-0.3104206621483105,-1.4128798098282909,Middle East
117,-0.3529313475250911,-0.3631461472703921,Africa
118,-0.2671901120668668,0.9859291850766065,Europe
119,-0.32409923942553587,0.3563069040446184,Middle East
120,-0.3460695628175054,-1.3017451486531804,Africa
